# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.55150463,-0.66618425,0.80925909,-0.38059172
56658.55162037,-0.66248021,0.80709744,-0.39153208
56658.55173611,-0.65870256,0.80484611,-0.40242883
56658.55185185,-0.65485172,0.80250535,-0.41328074
56658.55196759,-0.65092813,0.80007545,-0.42408662
56658.55208333,-0.64693223,0.79755666,-0.43484527
56658.55219907,-0.64286447,0.79494929,-0.44555549
56658.55231481,-0.63872531,0.79225363,-0.45621609
56658.55243056,-0.63451521,0.78946999,-0.46682590
56658.55254630,-0.63023464,0.78659868,-0.47738372
56658.55266204,-0.62588409,0.78364003,-0.48788840
56658.55277778,-0.62146406,0.78059437,-0.49833877
56658.55289352,-0.61697502,0.77746206,-0.50873367
56658.55300926,-0.61241749,0.77424344,-0.51907194
56658.55312500,-0.60779199,0.77093889,-0.52935245
56658.55324074,-0.60309902,0.76754877,-0.53957405
56658.55335648,-0.59833913,0.76407347,-0.54973562
56658.55347222,-0.59351283,0.76051339,-0.55983602
56658.55358796,-0.58862068,0.75686893,-0.56987414
56658.55370370,-0.58366321,0.75314050,-0.57984886
56658.55381944,-0.57864100,0.74932852,-0.58975909
56658.55393519,-0.57355460,0.74543342,-0.59960373
56658.55405093,-0.56840458,0.74145564,-0.60938169
56658.55416667,-0.56319151,0.73739563,-0.61909188
56658.55428241,-0.55791599,0.73325385,-0.62873324
56658.55439815,-0.55257860,0.72903077,-0.63830470
56658.55451389,-0.54717994,0.72472685,-0.64780520
56658.55462963,-0.54172062,0.72034260,-0.65723370
56658.55474537,-0.53620124,0.71587849,-0.66658914
56658.55486111,-0.53062243,0.71133504,-0.67587050
56658.55497685,-0.52498480,0.70671275,-0.68507676
56658.55509259,-0.51928899,0.70201214,-0.69420689
56658.55520833,-0.51353563,0.69723374,-0.70325990
56658.55532407,-0.50772537,0.69237810,-0.71223477
56658.55543981,-0.50185885,0.68744574,-0.72113053
56658.55555556,-0.49593674,0.68243724,-0.72994619
