Device Name,Shielding,Storm Level,Upset Rate/Bit/Orbit,Probability of Survival/Bit/Mission,Upset Rate/Device/Orbit,Probability of Survival/Device/Mission
UltraScale XQRKU060 blockRAM,50,5,1.81E-06,0.9999982,68.77471,1.35E-30
Xilinx UltraScale XCKU040 ConfigMem,80,5,2.61E-07,1,0.138201,0.870923
Xilinx UltraScale XCKU040 BlockRAM,80,5,3.69E-07,1,7.9634,0.000347968
Xilinx Kintex-7 Config Mem,80,5,1.44E-07,1,0.046842,0.954238
Xilinx Kintex-7 blockRAM,80,5,5.68E-06,0.999994,90.8631,3.46E-40
UltraScale XQRKU060 Config,80,5,4.28E-07,1,0.310749,0.732898
UltraScale XQRKU060 blockRAM,80,5,6.94E-07,0.999999,26.3628,3.55E-12
Xilinx UltraScale XCKU040 ConfigMem,100,5,1.59E-07,1,0.0844613,0.919007
Xilinx UltraScale XCKU040 BlockRAM,100,5,2.21E-07,1,4.77547,0.00843416
Xilinx Kintex-7 Config Mem,100,5,8.07E-08,1,0.0263128,0.97403
Xilinx Kintex-7 blockRAM,100,5,3.52E-06,0.999996,56.2683,3.66E-25
UltraScale XQRKU060 Config,100,5,2.65E-07,1,0.192385,0.824989
UltraScale XQRKU060 blockRAM,100,5,4.26E-07,1,16.196,9.25E-08
Xilinx UltraScale XCKU040 ConfigMem,200,5,3.54E-08,1,0.018774,0.981401
Xilinx UltraScale XCKU040 BlockRAM,200,5,4.72E-08,1,1.02052,0.360408
Xilinx Kintex-7 Config Mem,200,5,1.48E-08,1,0.00483598,0.995176
Xilinx Kintex-7 blockRAM,200,5,8.03E-07,0.999999,12.8441,2.64E-06
UltraScale XQRKU060 Config,200,5,6.09E-08,1,0.0441635,0.956798
UltraScale XQRKU060 blockRAM,200,5,9.51E-08,1,3.6141,0.0269412
Xilinx UltraScale XCKU040 ConfigMem,300,5,1.51E-08,1,0.0080193,0.99201
Xilinx UltraScale XCKU040 BlockRAM,300,5,1.99E-08,1,0.43083,0.64997
Xilinx Kintex-7 Config Mem,300,5,5.95E-09,1,0.0019412,0.99806
Xilinx Kintex-7 blockRAM,300,5,3.46E-07,1,5.5284,0.0039725
UltraScale XQRKU060 Config,300,5,2.63E-08,1,0.019058,0.98112
UltraScale XQRKU060 blockRAM,300,5,4.06E-08,1,1.5443,0.21346
